Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"85","Unassigned","Anlon Healthcare Limited","https://www.anlonhealthcare.com","readymade-fallback","HIGH","NO","N/A","info@anlonhealthcare.com","[General Contact Email (Guessed Pattern)] info@anlonhealthcare.com; [Investor Grievance Email (Guessed Pattern)] contact@anlonhealthcare.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"86","Unassigned","Ahlada Engineers Limited","https://www.ahladaengineers.com","readymade-fallback","HIGH","NO","N/A","info@ahladaengineers.com","[General Contact Email (Guessed Pattern)] info@ahladaengineers.com; [Investor Grievance Email (Guessed Pattern)] contact@ahladaengineers.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"87","Unassigned","Asian Hotels (East) Limited","https://www.hyattregencykolkata.com","readymade-fallback","HIGH","NO","N/A","info@hyattregencykolkata.com","[General Contact Email (Guessed Pattern)] info@hyattregencykolkata.com; [Investor Grievance Email (Guessed Pattern)] contact@hyattregencykolkata.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"88","Unassigned","Ahluwalia Contracts (India) Limited","https://www.ahluwaliacontracts.com","readymade-fallback","HIGH","NO","N/A","info@ahluwaliacontracts.com","[General Contact Email (Guessed Pattern)] info@ahluwaliacontracts.com; [Investor Grievance Email (Guessed Pattern)] contact@ahluwaliacontracts.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"89","Unassigned","Asian Hotels (West) Limited","https://www.hyattregencymumbai.com","readymade-fallback","HIGH","NO","N/A","info@hyattregencymumbai.com","[General Contact Email (Guessed Pattern)] info@hyattregencymumbai.com; [Investor Grievance Email (Guessed Pattern)] contact@hyattregencymumbai.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"90","Unassigned","AIA Engineering Limited","https://www.aiaengineering.com","readymade-fallback","HIGH","NO","N/A","info@aiaengineering.com","[General Contact Email (Guessed Pattern)] info@aiaengineering.com; [Investor Grievance Email (Guessed Pattern)] contact@aiaengineering.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 23. Lighthouse A11y: 30/100."
"91","Unassigned","Authum Investment & Infrastructure Limited","https://www.authuminvestment.com","readymade-fallback","HIGH","NO","N/A","info@authuminvestment.com","[General Contact Email (Guessed Pattern)] info@authuminvestment.com; [Investor Grievance Email (Guessed Pattern)] contact@authuminvestment.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"92","Unassigned","Airan Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"93","Unassigned","Airo Lam limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"94","Unassigned","Ajanta Pharma Limited","https://www.ajantapharma.com","readymade-fallback","HIGH","NO","N/A","info@ajantapharma.com","[General Contact Email (Guessed Pattern)] info@ajantapharma.com; [Investor Grievance Email (Guessed Pattern)] contact@ajantapharma.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"95","Unassigned","Ajax Engineering Limited","https://www.ajax-engg.com","readymade-fallback","HIGH","NO","N/A","info@ajax-engg.com","[General Contact Email (Guessed Pattern)] info@ajax-engg.com; [Investor Grievance Email (Guessed Pattern)] contact@ajax-engg.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 11. Lighthouse A11y: 56/100."
"96","Unassigned","Ajmera Realty & Infra India Limited","https://www.ajmerarealty.com","readymade-fallback","HIGH","NO","N/A","info@ajmerarealty.com","[General Contact Email (Guessed Pattern)] info@ajmerarealty.com; [Investor Grievance Email (Guessed Pattern)] contact@ajmerarealty.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"97","Unassigned","Ajooni Biotech Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"98","Unassigned","Akash Infra-Projects Limited","https://www.akashinfra.com","readymade-fallback","HIGH","NO","N/A","info@akashinfra.com","[General Contact Email (Guessed Pattern)] info@akashinfra.com; [Investor Grievance Email (Guessed Pattern)] contact@akashinfra.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"99","Unassigned","AK Capital Services Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"100","Unassigned","Akg Exim Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
