Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"187","Unassigned","Sanofi India Ltd","https://sanofiindialtd.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sanofi_India_Ltd/screenshots/Sanofi_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sanofi India Ltd)","Company Secretary & Compliance Officer","info@sanofiindialtd.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@sanofiindialtd.com"
"188","Unassigned","Pfizer Ltd","https://pfizerltd.co.in","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Pfizer_Ltd/screenshots/Pfizer_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Pfizer Ltd)","Company Secretary & Compliance Officer","info@pfizerltd.co.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@pfizerltd.co.in"
"189","Unassigned","Gujarat State Fertilizers & Chemicals Ltd","https://gsfclimited.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Gujarat_State_Fertilizers___Chemicals_Ltd/screenshots/Gujarat_State_Fertilizers___Chemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Gujarat State Fertilizers & Chemicals Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"190","Unassigned","NOCIL Ltd","https://nocil.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/NOCIL_Ltd/screenshots/NOCIL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (NOCIL Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"191","Unassigned","Tata Chemicals Ltd","https://tatachemicals.com","Yes","Yes","Yes","1 out of 10","32","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Tata_Chemicals_Ltd/screenshots/Tata_Chemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Tata Chemicals Ltd)","Company Secretary & Compliance Officer","info@tatachemicals.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@tatachemicals.com"
"192","Unassigned","Tamilnadu Petroproducts Ltd","https://tnpetro.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Tamilnadu_Petroproducts_Ltd/screenshots/Tamilnadu_Petroproducts_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Tamilnadu Petroproducts Ltd)","Company Secretary & Compliance Officer","info@tnpetro.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@tnpetro.com"
"193","Unassigned","Zuari Industries Ltd","https://zuari.in","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Zuari_Industries_Ltd/screenshots/Zuari_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Zuari Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"194","Unassigned","Tata Consumer Products Ltd","https://tataconsumer.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Tata_Consumer_Products_Ltd/screenshots/Tata_Consumer_Products_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Tata Consumer Products Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"195","Unassigned","Asian Paints Ltd","https://asianpaints.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Asian_Paints_Ltd/screenshots/Asian_Paints_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Asian Paints Ltd)","Company Secretary & Compliance Officer","customercare@asianpaints.com","General Contact Email","Managing Director / CEO","customercare@asianpaints.com"
"196","Unassigned","Britannia Industries Ltd","https://britannia.co.in","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Britannia_Industries_Ltd/screenshots/Britannia_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Britannia Industries Ltd)","Company Secretary & Compliance Officer","feedback@britindia.com","General Contact Email","Managing Director / CEO","feedback@britindia.com"
"197","Unassigned","Colgate Palmolive (India) Ltd","https://colgatepalmolive.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Colgate_Palmolive__India__Ltd/screenshots/Colgate_Palmolive__India__Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Colgate Palmolive (India) Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"198","Unassigned","EIH Ltd","https://eihltd.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/EIH_Ltd/screenshots/EIH_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (EIH Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"199","Unassigned","Indian Hotels Company Ltd","https://ihcltata.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Indian_Hotels_Company_Ltd/screenshots/Indian_Hotels_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Indian Hotels Company Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"200","Unassigned","ITC Ltd","https://itc-ltd.co.uk","Yes","Yes","Yes","1 out of 10","18","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/ITC_Ltd/screenshots/ITC_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (ITC Ltd)","Company Secretary & Compliance Officer","itcsales@harveyperformance.com","General Contact Email","Managing Director / CEO","itcsales@harveyperformance.com"
"201","Unassigned","Apollo Tyres Ltd","https://apollotyres.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Apollo_Tyres_Ltd/screenshots/Apollo_Tyres_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Apollo Tyres Ltd)","Company Secretary & Compliance Officer","info@apollotyres.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@apollotyres.com"
"202","Unassigned","Ceat Ltd","https://ceat.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ceat_Ltd/screenshots/Ceat_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ceat Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"203","Unassigned","Modi Rubber Ltd","https://modiplus.in","Yes","Yes","Yes","1 out of 10","36","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Modi_Rubber_Ltd/screenshots/Modi_Rubber_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Modi Rubber Ltd)","Company Secretary & Compliance Officer","sales.modirubber@gmail.com","General Contact Email","Managing Director / CEO","sales.modirubber@gmail.com"
"204","Unassigned","Finolex Industries Ltd","https://finolex.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Finolex_Industries_Ltd/screenshots/Finolex_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Finolex Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"205","Unassigned","Centrum Capital Ltd","https://centrum.cz","Yes","Yes","Yes","1 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Centrum_Capital_Ltd/screenshots/Centrum_Capital_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Centrum Capital Ltd)","Company Secretary & Compliance Officer","cropped-Untitled@2x-32x32.webp","General Contact Email","Managing Director / CEO","cropped-Untitled@2x-32x32.webp"
"206","Unassigned","TCI Finance Ltd","https://tci.ir","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/TCI_Finance_Ltd/screenshots/TCI_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (TCI Finance Ltd)","Company Secretary & Compliance Officer","info@tci.ir","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@tci.ir"
"207","Unassigned","Antariksh Industries Ltd","https://antariksh.co.in","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Antariksh_Industries_Ltd/screenshots/Antariksh_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Antariksh Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"208","Unassigned","Industrial & Prudential Investment Company Ltd","https://industrialrelations.nsw.gov.au","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Industrial___Prudential_Investment_Company_Ltd/screenshots/Industrial___Prudential_Investment_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Industrial & Prudential Investment Company Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"209","Unassigned","Tata Investment Corporation Ltd","https://tatainvestment.com","Yes","Yes","Yes","1 out of 10","60","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Tata_Investment_Corporation_Ltd/screenshots/Tata_Investment_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Tata Investment Corporation Ltd)","Company Secretary & Compliance Officer","ticl@tata.com","General Contact Email","Managing Director / CEO","ticl@tata.com"
"210","Unassigned","Motor & General Finance Ltd","https://motortrend.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Motor___General_Finance_Ltd/screenshots/Motor___General_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Motor & General Finance Ltd)","Company Secretary & Compliance Officer","info@motortrend.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@motortrend.com"
"211","Unassigned","Walchand Peoplefirst Ltd","https://walchandpeoplefirst.com","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Walchand_Peoplefirst_Ltd/screenshots/Walchand_Peoplefirst_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Walchand Peoplefirst Ltd)","Company Secretary & Compliance Officer","info@walchandpeoplefirst.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@walchandpeoplefirst.com"
"212","Unassigned","E & E Enterprises Ltd","https://eandeproject.com","Yes","Yes","Yes","1 out of 10","19","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/E___E_Enterprises_Ltd/screenshots/E___E_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (E & E Enterprises Ltd)","Company Secretary & Compliance Officer","info@eandeproject.com","General Contact Email","Managing Director / CEO","info@eandeproject.com"
"213","Unassigned","The Bombay Burmah Trading Corporation Ltd","https://bbtcl.com","Yes","Yes","Yes","1 out of 10","20","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/The_Bombay_Burmah_Trading_Corporation_Ltd/screenshots/The_Bombay_Burmah_Trading_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (The Bombay Burmah Trading Corporation Ltd)","Company Secretary & Compliance Officer","writetous@bbtcl.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","writetous@bbtcl.com"
"214","Unassigned","Greaves Cotton Ltd","https://greavescotton.com","Yes","Yes","Yes","1 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Greaves_Cotton_Ltd/screenshots/Greaves_Cotton_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Greaves Cotton Ltd)","Company Secretary & Compliance Officer","investorservices@greavescotton.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investorservices@greavescotton.com"
"215","Unassigned","Muller & Phipps India Ltd","https://mullerseeds.com","Yes","Yes","Yes","1 out of 10","28","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Muller___Phipps_India_Ltd/screenshots/Muller___Phipps_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Muller & Phipps India Ltd)","Company Secretary & Compliance Officer","info@mullerseeds.com","General Contact Email","Managing Director / CEO","info@mullerseeds.com"
"216","Unassigned","Springform Technology Ltd","https://springform.co.uk","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Springform_Technology_Ltd/screenshots/Springform_Technology_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Springform Technology Ltd)","Company Secretary & Compliance Officer","info@springform.co.uk","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@springform.co.uk"
"217","Unassigned","IndiaNivesh Ltd","https://indianivesh.in","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/IndiaNivesh_Ltd/screenshots/IndiaNivesh_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (IndiaNivesh Ltd)","Company Secretary & Compliance Officer","info@indianivesh.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@indianivesh.in"
"218","Unassigned","Coastal Corporation Ltd","https://coastal24.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Coastal_Corporation_Ltd/screenshots/Coastal_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Coastal Corporation Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"219","Unassigned","Chowgule Steamships Ltd","https://chowgulesteamships.co.in","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Chowgule_Steamships_Ltd/screenshots/Chowgule_Steamships_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Chowgule Steamships Ltd)","Company Secretary & Compliance Officer","info@chowgulesteamships.co.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@chowgulesteamships.co.in"
"220","Unassigned","ASI Industries Ltd","https://asics.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/ASI_Industries_Ltd/screenshots/ASI_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (ASI Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"221","Unassigned","Sagar Cements Ltd","https://sagarcements.in","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sagar_Cements_Ltd/screenshots/Sagar_Cements_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sagar Cements Ltd)","Company Secretary & Compliance Officer","info@sagarcements.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@sagarcements.in"
"222","Unassigned","Deccan Cements Ltd","https://deccancements.com","Yes","Yes","Yes","1 out of 10","14","44","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Deccan_Cements_Ltd/screenshots/Deccan_Cements_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Deccan Cements Ltd)","Company Secretary & Compliance Officer","secretarial@deccancements.com","General Contact Email","Managing Director / CEO","secretarial@deccancements.com"
"223","Unassigned","Mangalam Cement Ltd","https://mangalamcement.com","Yes","Yes","Yes","1.5 out of 10","12","52","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Mangalam_Cement_Ltd/screenshots/Mangalam_Cement_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Mangalam Cement Ltd)","Company Secretary & Compliance Officer","kolkata@mangalamcement.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","kolkata@mangalamcement.com"
"224","Unassigned","NCL Industries Ltd","https://nclind.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/NCL_Industries_Ltd/screenshots/NCL_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (NCL Industries Ltd)","Company Secretary & Compliance Officer","ncl@nclind.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","ncl@nclind.com"
"225","Unassigned","Borosil Renewables Ltd","https://borosilrenewables.com","Yes","Yes","Yes","1 out of 10","18","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Borosil_Renewables_Ltd/screenshots/Borosil_Renewables_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Borosil Renewables Ltd)","Company Secretary & Compliance Officer","sales.lig@borosil.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","brl@borosil.com"
"226","Unassigned","Lerthai Finance Ltd","https://lerthai.com.hk","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Lerthai_Finance_Ltd/screenshots/Lerthai_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Lerthai Finance Ltd)","Company Secretary & Compliance Officer","info@lerthai.com.hk","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@lerthai.com.hk"
"227","Unassigned","Andhra Paper Ltd","https://andhrapaper.com","Yes","Yes","Yes","1 out of 10","29","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Andhra_Paper_Ltd/screenshots/Andhra_Paper_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Andhra Paper Ltd)","Company Secretary & Compliance Officer","info@andhrapaper.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@andhrapaper.com"
"228","Unassigned","Balkrishna Industries Ltd","https://balkrishn.com","Yes","Yes","Yes","1 out of 10","51","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Balkrishna_Industries_Ltd/screenshots/Balkrishna_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Balkrishna Industries Ltd)","Company Secretary & Compliance Officer","info@balkrishn.com","General Contact Email","Managing Director / CEO","info@balkrishn.com"
"229","Unassigned","Orient Paper & Industries Ltd","https://orientpaperinc.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Orient_Paper___Industries_Ltd/screenshots/Orient_Paper___Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Orient Paper & Industries Ltd)","Company Secretary & Compliance Officer","info@orientpaperinc.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@orientpaperinc.com"
"230","Unassigned","Nath Industries Ltd","https://nathanjames.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Nath_Industries_Ltd/screenshots/Nath_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Nath Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"231","Unassigned","Vapi Enterprise Ltd","https://vapienterprise.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Vapi_Enterprise_Ltd/screenshots/Vapi_Enterprise_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Vapi Enterprise Ltd)","Company Secretary & Compliance Officer","vapipaper@gmail.com","General Contact Email","Managing Director / CEO","vapipaper@gmail.com"
"232","Unassigned","DCM Ltd","https://3dcmltd.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/DCM_Ltd/screenshots/DCM_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (DCM Ltd)","Company Secretary & Compliance Officer","info@3dcmltd.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@3dcmltd.com"
