Sr. No.,Assigned To,Company Name,Website,Contact Person,Designation,Phone Number,Email ID,Website Verified,Scan Completed,Screenshot Taken,Screenshot attached,Wave Score,Axe Score,LH Score
"99","Unassigned","Indian Railway Catering and Tourism Corporation Limited","https://www.irctc.co.in","N/A","Head of Compliance & Digital Governance","+91-22-43834959","compliance@irctc.co.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Indian_Railway_Catering_and_Tourism_Corporation_Limited_WAVE_Tool_Screenshot.png)","","",""
"100","Unassigned","InterGlobe Aviation Limited / IndiGo","https://www.goindigo.in","N/A","Head of Compliance & Digital Governance","+91-22-14865124","info@goindigo.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/InterGlobe_Aviation_Limited___IndiGo_WAVE_Tool_Screenshot.png)","4","4","84"
"101","Unassigned","The Indian Hotels Company Limited","https://www.ihcltata.com","N/A","Head of Compliance & Digital Governance","+91-22-31443513","compliance@ihcltata.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/The_Indian_Hotels_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"102","Unassigned","Jubilant FoodWorks Limited","https://www.jubilantfoodworks.com","N/A","Head of Compliance & Digital Governance","+91-22-53188052","compliance@jubilantfoodworks.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Jubilant_FoodWorks_Limited_WAVE_Tool_Screenshot.png)","","",""
"103","Unassigned","Aditya Birla Capital Limited","https://www.adityabirlacapital.com","N/A","Head of Compliance & Digital Governance","+91-22-29136793","compliance@adityabirlacapital.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Aditya_Birla_Capital_Limited_WAVE_Tool_Screenshot.png)","","",""
"104","Unassigned","Shriram Finance Limited","https://www.shriramfinance.in","N/A","Head of Compliance & Digital Governance","+91-22-49371836","info@shriramfinance.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Shriram_Finance_Limited_WAVE_Tool_Screenshot.png)","","","100"
"105","Unassigned","Muthoot Finance Limited","https://www.muthootfinance.com","N/A","Head of Compliance & Digital Governance","+91-22-15997926","info@muthootfinance.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Muthoot_Finance_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"106","Unassigned","Piramal Finance Limited","https://www.piramalfinance.com","N/A","Head of Compliance & Digital Governance","+91-22-43047262","customercare@piramal.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Piramal_Finance_Limited_WAVE_Tool_Screenshot.png)","4","4","84"
"107","Unassigned","Yes Bank Limited","https://www.yesbank.in","N/A","Head of Compliance & Digital Governance","+91-22-97808739","info@yesbank.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Yes_Bank_Limited_WAVE_Tool_Screenshot.png)","","","100"
"108","Unassigned","RBL Bank Limited","https://www.rblbank.com","N/A","Head of Compliance & Digital Governance","+91-22-82428434","compliance@rblbank.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/RBL_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
"109","Unassigned","AU Small Finance Bank Limited","https://www.aubank.in","N/A","Head of Compliance & Digital Governance","+91-22-83677051","compliance@aubank.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/AU_Small_Finance_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
