[2026-08-02T05:32:28.525Z] COMPANY: "SEBI Official" | QUERIES: ["SEBI Official" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1474ms | REASON: Resolved via self-search
[2026-08-02T05:33:47.960Z] COMPANY: "LANDMARK REAL ESTATE FUND - I" | QUERIES: ["LANDMARK REAL ESTATE FUND - I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1577ms | REASON: Resolved via self-search
[2026-08-02T05:33:48.553Z] COMPANY: "LANDMARK REAL ESTATE FUND - I" | QUERIES: ["LANDMARK REAL ESTATE FUND - I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-02T05:33:49.533Z] COMPANY: "PENINSULA REALTY FUND" | QUERIES: ["PENINSULA REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1573ms | REASON: Resolved via self-search
[2026-08-02T05:33:50.128Z] COMPANY: "PENINSULA REALTY FUND" | QUERIES: ["PENINSULA REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1575ms | REASON: Resolved via self-search
[2026-08-02T05:33:51.109Z] COMPANY: "REALTY INDIA TRUST" | QUERIES: ["REALTY INDIA TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-02T05:33:51.706Z] COMPANY: "REALTY INDIA TRUST" | QUERIES: ["REALTY INDIA TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1578ms | REASON: Resolved via self-search
[2026-08-02T05:33:52.696Z] COMPANY: "THE INDIA SEED INVESTMENT TRUST" | QUERIES: ["THE INDIA SEED INVESTMENT TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1586ms | REASON: Resolved via self-search
[2026-08-02T05:33:53.308Z] COMPANY: "THE INDIA SEED INVESTMENT TRUST" | QUERIES: ["THE INDIA SEED INVESTMENT TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1602ms | REASON: Resolved via self-search
[2026-08-02T05:33:54.274Z] COMPANY: "JM FINANCIAL INDIA FUND" | QUERIES: ["JM FINANCIAL INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1577ms | REASON: Resolved via self-search
[2026-08-02T05:33:54.884Z] COMPANY: "JM FINANCIAL INDIA FUND" | QUERIES: ["JM FINANCIAL INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1575ms | REASON: Resolved via self-search
[2026-08-02T05:33:55.853Z] COMPANY: "JM FINANCIAL PROPERTY FUND" | QUERIES: ["JM FINANCIAL PROPERTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1578ms | REASON: Resolved via self-search
[2026-08-02T05:33:56.460Z] COMPANY: "JM FINANCIAL PROPERTY FUND" | QUERIES: ["JM FINANCIAL PROPERTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-02T05:33:57.430Z] COMPANY: "TERRAFIRMA REALTY FUND" | QUERIES: ["TERRAFIRMA REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-02T05:33:58.030Z] COMPANY: "TERRAFIRMA REALTY FUND" | QUERIES: ["TERRAFIRMA REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1569ms | REASON: Resolved via self-search
[2026-08-02T05:33:58.183Z] COMPANY: "ADHARSHILA VENTURE CAPITAL FUND" | QUERIES: ["ADHARSHILA VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 753ms | REASON: Resolved via self-search
[2026-08-02T05:34:06.174Z] COMPANY: "ADHARSHILA VENTURE CAPITAL FUND" | QUERIES: ["ADHARSHILA VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 8143ms | REASON: Resolved via self-search
[2026-08-02T05:34:22.185Z] COMPANY: "NAGARJUNA VENTURE CAPITAL FUND" | QUERIES: ["NAGARJUNA VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:34:30.176Z] COMPANY: "NAGARJUNA VENTURE CAPITAL FUND" | QUERIES: ["NAGARJUNA VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:34:46.188Z] COMPANY: "GVFL VENTURE CAPITAL FUND" | QUERIES: ["GVFL VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:34:54.178Z] COMPANY: "GVFL VENTURE CAPITAL FUND" | QUERIES: ["GVFL VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:35:10.190Z] COMPANY: "GROWTH PLUS REAL ESTATE FUND" | QUERIES: ["GROWTH PLUS REAL ESTATE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:35:18.180Z] COMPANY: "GROWTH PLUS REAL ESTATE FUND" | QUERIES: ["GROWTH PLUS REAL ESTATE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:35:34.192Z] COMPANY: "KOTAK INDIA VENTURE FUND I" | QUERIES: ["KOTAK INDIA VENTURE FUND I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:35:42.182Z] COMPANY: "KOTAK INDIA VENTURE FUND I" | QUERIES: ["KOTAK INDIA VENTURE FUND I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:35:58.193Z] COMPANY: "True North Fund III-A" | QUERIES: ["True North Fund III-A" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:36:06.183Z] COMPANY: "True North Fund III-A" | QUERIES: ["True North Fund III-A" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:36:22.197Z] COMPANY: "INDIA RIZING FUND" | QUERIES: ["INDIA RIZING FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:36:30.184Z] COMPANY: "INDIA RIZING FUND" | QUERIES: ["INDIA RIZING FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:36:46.199Z] COMPANY: "GAJA CAPITAL INDIA FUND I" | QUERIES: ["GAJA CAPITAL INDIA FUND I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:36:54.188Z] COMPANY: "GAJA CAPITAL INDIA FUND I" | QUERIES: ["GAJA CAPITAL INDIA FUND I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:37:10.201Z] COMPANY: "Wallford India Infrastructure & Realty Fund" | QUERIES: ["Wallford India Infrastructure & Realty Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:37:18.190Z] COMPANY: "Wallford India Infrastructure & Realty Fund" | QUERIES: ["Wallford India Infrastructure & Realty Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:37:34.203Z] COMPANY: "RED FORT INDIA REALTY FUND" | QUERIES: ["RED FORT INDIA REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:37:42.193Z] COMPANY: "RED FORT INDIA REALTY FUND" | QUERIES: ["RED FORT INDIA REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:37:58.206Z] COMPANY: "MILESTONE PRIVATE EQUITY FUND" | QUERIES: ["MILESTONE PRIVATE EQUITY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:38:06.195Z] COMPANY: "MILESTONE PRIVATE EQUITY FUND" | QUERIES: ["MILESTONE PRIVATE EQUITY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:38:22.210Z] COMPANY: "TARA INDIA FUND III TRUST" | QUERIES: ["TARA INDIA FUND III TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:38:30.198Z] COMPANY: "TARA INDIA FUND III TRUST" | QUERIES: ["TARA INDIA FUND III TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:38:46.212Z] COMPANY: "India Infrastructure Fund" | QUERIES: ["India Infrastructure Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:38:54.201Z] COMPANY: "India Infrastructure Fund" | QUERIES: ["India Infrastructure Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:39:10.213Z] COMPANY: "INDIA ADVANTAGE FUND Series 3I" | QUERIES: ["INDIA ADVANTAGE FUND Series 3I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:39:18.202Z] COMPANY: "INDIA ADVANTAGE FUND Series 3I" | QUERIES: ["INDIA ADVANTAGE FUND Series 3I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:39:34.214Z] COMPANY: "KOTAK INDIA GROWTH FUND II" | QUERIES: ["KOTAK INDIA GROWTH FUND II" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:39:42.206Z] COMPANY: "KOTAK INDIA GROWTH FUND II" | QUERIES: ["KOTAK INDIA GROWTH FUND II" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:39:58.215Z] COMPANY: "CINEMA CAPITAL VENTURE FUND" | QUERIES: ["CINEMA CAPITAL VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:40:06.210Z] COMPANY: "CINEMA CAPITAL VENTURE FUND" | QUERIES: ["CINEMA CAPITAL VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:40:22.216Z] COMPANY: "INVESTCORP INFRASTRUCTURE FUND 1" | QUERIES: ["INVESTCORP INFRASTRUCTURE FUND 1" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:40:30.214Z] COMPANY: "INVESTCORP INFRASTRUCTURE FUND 1" | QUERIES: ["INVESTCORP INFRASTRUCTURE FUND 1" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:40:46.217Z] COMPANY: "TARA INDIA FUND III DOMESTIC TRUST" | QUERIES: ["TARA INDIA FUND III DOMESTIC TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:40:54.216Z] COMPANY: "TARA INDIA FUND III DOMESTIC TRUST" | QUERIES: ["TARA INDIA FUND III DOMESTIC TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:41:10.219Z] COMPANY: "TVS SHRIRAM GROWTH FUND" | QUERIES: ["TVS SHRIRAM GROWTH FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:41:18.219Z] COMPANY: "TVS SHRIRAM GROWTH FUND" | QUERIES: ["TVS SHRIRAM GROWTH FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:41:34.222Z] COMPANY: "GREEN INDIA VENTURE FUND" | QUERIES: ["GREEN INDIA VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:41:42.222Z] COMPANY: "GREEN INDIA VENTURE FUND" | QUERIES: ["GREEN INDIA VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:41:58.224Z] COMPANY: "INDIAVENTURE TRUST" | QUERIES: ["INDIAVENTURE TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:42:06.223Z] COMPANY: "INDIAVENTURE TRUST" | QUERIES: ["INDIAVENTURE TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:42:22.226Z] COMPANY: "AKRUTI CITY VENTURE CAPITAL FUND" | QUERIES: ["AKRUTI CITY VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:42:30.225Z] COMPANY: "AKRUTI CITY VENTURE CAPITAL FUND" | QUERIES: ["AKRUTI CITY VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:42:46.228Z] COMPANY: "BYTS GROWTH FUND" | QUERIES: ["BYTS GROWTH FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:42:54.225Z] COMPANY: "BYTS GROWTH FUND" | QUERIES: ["BYTS GROWTH FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:43:10.229Z] COMPANY: "VISTAAR RELIGARE MEDIA FUND" | QUERIES: ["VISTAAR RELIGARE MEDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:43:18.227Z] COMPANY: "VISTAAR RELIGARE MEDIA FUND" | QUERIES: ["VISTAAR RELIGARE MEDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:43:34.231Z] COMPANY: "Forum Synergies India Trust" | QUERIES: ["Forum Synergies India Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:43:42.229Z] COMPANY: "Forum Synergies India Trust" | QUERIES: ["Forum Synergies India Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:43:58.233Z] COMPANY: "Business Excellence Trust" | QUERIES: ["Business Excellence Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:44:06.231Z] COMPANY: "Business Excellence Trust" | QUERIES: ["Business Excellence Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:44:22.236Z] COMPANY: "FELICITAS VENTURE CAPITAL TRUST" | QUERIES: ["FELICITAS VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:44:30.232Z] COMPANY: "FELICITAS VENTURE CAPITAL TRUST" | QUERIES: ["FELICITAS VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:44:46.237Z] COMPANY: "ADITYA BIRLA PRIVATE EQUITY TRUST" | QUERIES: ["ADITYA BIRLA PRIVATE EQUITY TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:44:54.235Z] COMPANY: "ADITYA BIRLA PRIVATE EQUITY TRUST" | QUERIES: ["ADITYA BIRLA PRIVATE EQUITY TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:45:10.239Z] COMPANY: "SECURA INDIA REAL ESTATE FUND" | QUERIES: ["SECURA INDIA REAL ESTATE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:45:18.237Z] COMPANY: "SECURA INDIA REAL ESTATE FUND" | QUERIES: ["SECURA INDIA REAL ESTATE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:45:34.240Z] COMPANY: "SASHI REDDI  INVESTMENT CAPITAL FUND" | QUERIES: ["SASHI REDDI  INVESTMENT CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:45:42.238Z] COMPANY: "SASHI REDDI  INVESTMENT CAPITAL FUND" | QUERIES: ["SASHI REDDI  INVESTMENT CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:45:58.243Z] COMPANY: "Zephyr Peacock India Master Trust" | QUERIES: ["Zephyr Peacock India Master Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:46:06.243Z] COMPANY: "Zephyr Peacock India Master Trust" | QUERIES: ["Zephyr Peacock India Master Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:46:22.246Z] COMPANY: "IPRO CAPITAL PRIVATE EQUITY TRUST" | QUERIES: ["IPRO CAPITAL PRIVATE EQUITY TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:46:30.245Z] COMPANY: "IPRO CAPITAL PRIVATE EQUITY TRUST" | QUERIES: ["IPRO CAPITAL PRIVATE EQUITY TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:46:46.250Z] COMPANY: "INDIA INNOVATION FUND" | QUERIES: ["INDIA INNOVATION FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:46:54.247Z] COMPANY: "INDIA INNOVATION FUND" | QUERIES: ["INDIA INNOVATION FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:47:10.253Z] COMPANY: "MORPHEUS MEDIA FUND" | QUERIES: ["MORPHEUS MEDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:47:18.249Z] COMPANY: "MORPHEUS MEDIA FUND" | QUERIES: ["MORPHEUS MEDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:47:34.256Z] COMPANY: "THE VENTUREAST FUNDS" | QUERIES: ["THE VENTUREAST FUNDS" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:47:42.252Z] COMPANY: "THE VENTUREAST FUNDS" | QUERIES: ["THE VENTUREAST FUNDS" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:47:58.258Z] COMPANY: "SEAF INDIA INVESTMENT TRUST" | QUERIES: ["SEAF INDIA INVESTMENT TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:48:06.255Z] COMPANY: "SEAF INDIA INVESTMENT TRUST" | QUERIES: ["SEAF INDIA INVESTMENT TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:48:22.261Z] COMPANY: "NETWORK ENTERPRISE FUND" | QUERIES: ["NETWORK ENTERPRISE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:48:46.262Z] COMPANY: "IL&FS ORIX Trust" | QUERIES: ["IL&FS ORIX Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:49:10.264Z] COMPANY: "AVENDUS ACE FUND TRUST" | QUERIES: ["AVENDUS ACE FUND TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:49:34.266Z] COMPANY: "INDIA INFRASTRUCTURE DEVELOPMENT FUND" | QUERIES: ["INDIA INFRASTRUCTURE DEVELOPMENT FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:49:58.267Z] COMPANY: "CHEEKOTEL PRIVATE LIMITED" | QUERIES: ["CHEEKOTEL PRIVATE LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:50:22.269Z] COMPANY: "INDIA DEVELOPMENT AND CONSTRUCTION FUND" | QUERIES: ["INDIA DEVELOPMENT AND CONSTRUCTION FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:50:46.271Z] COMPANY: "KARNATAKA INFORMATION TECHOLOGY VENTURE CAPITAL FUND-2" | QUERIES: ["KARNATAKA INFORMATION TECHOLOGY VENTURE CAPITAL FUND-2" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:50:47.349Z] COMPANY: "ADITYA BIRLA SUN LIFE MF" | QUERIES: ["ADITYA BIRLA SUN LIFE MF" official website] | CANDIDATES: [https://mutualfund.adityabirlacapital.com] | SELECTED: "https://mutualfund.adityabirlacapital.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:51:10.276Z] COMPANY: "ABOYNE INDIA TRUST" | QUERIES: ["ABOYNE INDIA TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24005ms | REASON: Resolved via self-search
[2026-08-02T05:51:13.555Z] COMPANY: "AXIS MF" | QUERIES: ["AXIS MF" official website] | CANDIDATES: [https://www.axismf.com] | SELECTED: "https://www.axismf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:51:26.213Z] COMPANY: "Baroda BNP Paribas Mutual Fund" | QUERIES: ["Baroda BNP Paribas Mutual Fund" official website] | CANDIDATES: [https://www.barodabnpparibasmf.in] | SELECTED: "https://www.barodabnpparibasmf.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:51:34.278Z] COMPANY: "MULTIPLES PRIVATE EQUITY FUND" | QUERIES: ["MULTIPLES PRIVATE EQUITY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:51:43.961Z] COMPANY: "Bank of India Mutual Fund" | QUERIES: ["Bank of India Mutual Fund" official website] | CANDIDATES: [https://www.boiaxamc.com] | SELECTED: "https://www.boiaxamc.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:51:51.554Z] COMPANY: "CANARA ROBECO MF" | QUERIES: ["CANARA ROBECO MF" official website] | CANDIDATES: [https://www.canararobeco.com] | SELECTED: "https://www.canararobeco.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:51:58.281Z] COMPANY: "KAIZEN TRUST" | QUERIES: ["KAIZEN TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:52:09.129Z] COMPANY: "CRB MF" | QUERIES: ["CRB MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:52:09.130Z] COMPANY: "PGIM INDIA MUTUAL FUND" | QUERIES: ["PGIM INDIA MUTUAL FUND" official website] | CANDIDATES: [https://www.pgimindiamf.com] | SELECTED: "https://www.pgimindiamf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:52:17.811Z] COMPANY: "DSP MF" | QUERIES: ["DSP MF" official website] | CANDIDATES: [https://www.dspim.com] | SELECTED: "https://www.dspim.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
