Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"236","Unassigned","Avantel Limited","https://avantel.co","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Avantel_Limited/screenshots/Avantel_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@avantel.co","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@avantel.co"
"237","Unassigned","Avanti Feeds Limited","https://avantifeeds.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Avanti_Feeds_Limited/screenshots/Avanti_Feeds_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"238","Unassigned","Avenue Supermarts Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Avenue_Supermarts_Limited/screenshots/Avenue_Supermarts_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"239","Unassigned","AvenuesAI Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AvenuesAI_Limited/screenshots/AvenuesAI_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"240","Unassigned","Avio Smart Market Stack Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Avio_Smart_Market_Stack_Limited/screenshots/Avio_Smart_Market_Stack_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"241","Unassigned","Avonmore Capital & Management Services Limited","https://avonmorecapital.in","Yes","Yes","Yes","4","4","84","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Avonmore_Capital___Management_Services_Limited/screenshots/Avonmore_Capital___Management_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@almondz.com","General Contact Email","Accessibility & Nodal Officer","info@almondz.com"
"242","Unassigned","Awfis Space Solutions Limited","https://awfis.co","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Awfis_Space_Solutions_Limited/screenshots/Awfis_Space_Solutions_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"243","Unassigned","Axis Bank Limited","https://axisbank.com","Yes","Yes","Yes","40","40","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Axis_Bank_Limited/screenshots/Axis_Bank_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","PNO@axis.bank.in","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","PNO@axis.bank.in"
"244","Unassigned","Axita Cotton Limited","https://axitacotton.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Axita_Cotton_Limited/screenshots/Axita_Cotton_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@axitacotton.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@axitacotton.com"
"245","Unassigned","Aye Finance Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aye_Finance_Limited/screenshots/Aye_Finance_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"246","Unassigned","Azad Engineering Limited","https://azad.in","Yes","Yes","Yes","5","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Azad_Engineering_Limited/screenshots/Azad_Engineering_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Info@azad.in","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","cs@azad.in"
"247","Unassigned","BALAXI PHARMACEUTICALS LIMITED","https://balaxipharma.in","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BALAXI_PHARMACEUTICALS_LIMITED/screenshots/BALAXI_PHARMACEUTICALS_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"248","Unassigned","BASF India Limited","https://basf.com","Yes","Yes","Yes","43","43","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BASF_India_Limited/screenshots/BASF_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email","Accessibility & Nodal Officer","Not Found"
"249","Unassigned","BCPL Railway Infrastructure Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BCPL_Railway_Infrastructure_Limited/screenshots/BCPL_Railway_Infrastructure_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"250","Unassigned","BEML Land Assets Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BEML_Land_Assets_Limited/screenshots/BEML_Land_Assets_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"251","Unassigned","BEML Limited","https://bemlindia.in","Yes","Yes","Yes","5","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BEML_Limited/screenshots/BEML_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","office.cio@beml.co.in","General Contact Email","Accessibility & Nodal Officer","office.cio@beml.co.in"
"252","Unassigned","BF Investment Limited","https://bfigroup.org","Yes","Yes","Yes","18","18","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BF_Investment_Limited/screenshots/BF_Investment_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@bfigroup.org","General Contact Email","Accessibility & Nodal Officer","info@bfigroup.org"
"253","Unassigned","BF Utilities Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BF_Utilities_Limited/screenshots/BF_Utilities_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"254","Unassigned","BGR Energy Systems Limited","https://bgrcorp.com","Yes","Yes","No","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BGR_Energy_Systems_Limited/screenshots/BGR_Energy_Systems_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@bgrcorp.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@bgrcorp.com"
"255","Unassigned","BIL VYAPAR LIMITED","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BIL_VYAPAR_LIMITED/screenshots/BIL_VYAPAR_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"256","Unassigned","BIRLASOFT LIMITED","https://birlasoft.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BIRLASOFT_LIMITED/screenshots/BIRLASOFT_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"257","Unassigned","BLACKBUCK LIMITED","https://blackbuck.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BLACKBUCK_LIMITED/screenshots/BLACKBUCK_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"258","Unassigned","BLB Limited","https://blblimited.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BLB_Limited/screenshots/BLB_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"259","Unassigned","BLS E-Services Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BLS_E_Services_Limited/screenshots/BLS_E_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"260","Unassigned","BLS International Services Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BLS_International_Services_Limited/screenshots/BLS_International_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"261","Unassigned","BMW Ventures Limited","https://bmwventures.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BMW_Ventures_Limited/screenshots/BMW_Ventures_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"262","Unassigned","BN Agrochem Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BN_Agrochem_Limited/screenshots/BN_Agrochem_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"263","Unassigned","BOROSIL RENEWABLES LIMITED","https://borosilrenewables.com","Yes","Yes","Yes","18","18","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BOROSIL_RENEWABLES_LIMITED/screenshots/BOROSIL_RENEWABLES_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","sales.lig@borosil.com","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","brl@borosil.com"
"264","Unassigned","BOSCH HOME COMFORT INDIA LIMITED","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BOSCH_HOME_COMFORT_INDIA_LIMITED/screenshots/BOSCH_HOME_COMFORT_INDIA_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"265","Unassigned","BPL Limited","https://bpllimited.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BPL_Limited/screenshots/BPL_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"266","Unassigned","BSE Limited","https://bseindia.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BSE_Limited/screenshots/BSE_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"267","Unassigned","BSL Limited","https://bslshaders.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/BSL_Limited/screenshots/BSL_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"268","Unassigned","B.A.G Films and Media Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/B_A_G_Films_and_Media_Limited/screenshots/B_A_G_Films_and_Media_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"269","Unassigned","B&B Triplewall Containers Limited","https://booking.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/B_B_Triplewall_Containers_Limited/screenshots/B_B_Triplewall_Containers_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","customer.service@booking.com","General Contact Email","Accessibility & Nodal Officer","customer.service@booking.com"
"270","Unassigned","B. L. Kashyap and Sons Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/B__L__Kashyap_and_Sons_Limited/screenshots/B__L__Kashyap_and_Sons_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"271","Unassigned","B & A Limited","https://booking.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/B___A_Limited/screenshots/B___A_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","customer.service@booking.com","General Contact Email","Accessibility & Nodal Officer","customer.service@booking.com"
"272","Unassigned","Bafna Pharmaceuticals Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bafna_Pharmaceuticals_Limited/screenshots/Bafna_Pharmaceuticals_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"273","Unassigned","Baid Finserv Limited","https://baidfinserv.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Baid_Finserv_Limited/screenshots/Baid_Finserv_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"274","Unassigned","Bajaj Auto Limited","https://bajajauto.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Auto_Limited/screenshots/Bajaj_Auto_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"275","Unassigned","Bajaj Consumer Care Limited","https://bajajconsumercare.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Consumer_Care_Limited/screenshots/Bajaj_Consumer_Care_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"276","Unassigned","Bajaj Electricals Limited","https://bajajelectricals.com","Yes","Yes","Yes","17","17","32","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Electricals_Limited/screenshots/Bajaj_Electricals_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email","Accessibility & Nodal Officer","Not Found"
"277","Unassigned","Bajaj Finance Limited","https://bajajhousingfinance.in","Yes","Yes","Yes","35","35","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Finance_Limited/screenshots/Bajaj_Finance_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","bhflwecare@bajajhousing.co.in","General Contact Email","Accessibility & Nodal Officer","bhflwecare@bajajhousing.co.in"
"278","Unassigned","Bajaj Finserv Limited","https://bajajfinserv.in","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Finserv_Limited/screenshots/Bajaj_Finserv_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"279","Unassigned","Bajaj Healthcare Limited","https://bajajhealth.com","Yes","Yes","Yes","6","6","76","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Healthcare_Limited/screenshots/Bajaj_Healthcare_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@bajajhealth.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@bajajhealth.com"
"280","Unassigned","Bajaj Hindusthan Sugar Limited","https://bajajhindusthan.com","Yes","Yes","Yes","26","26","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Hindusthan_Sugar_Limited/screenshots/Bajaj_Hindusthan_Sugar_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","investor.helpdesk@in.mpms.mufg.com","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","investor.helpdesk@in.mpms.mufg.com"
"281","Unassigned","Bajaj Holdings & Investment Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Holdings___Investment_Limited/screenshots/Bajaj_Holdings___Investment_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"282","Unassigned","Bajaj Housing Finance Limited","https://bajajhousingfinance.in","Yes","Yes","Yes","35","35","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Housing_Finance_Limited/screenshots/Bajaj_Housing_Finance_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","bhflwecare@bajajhousing.co.in","General Contact Email","Accessibility & Nodal Officer","bhflwecare@bajajhousing.co.in"
"283","Unassigned","Bajaj Steel Industries Limited","https://bajajngp.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajaj_Steel_Industries_Limited/screenshots/Bajaj_Steel_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@bajajngp.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@bajajngp.com"
"284","Unassigned","Bajel Projects Limited","https://bajelprojects.com","Yes","Yes","Yes","3","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bajel_Projects_Limited/screenshots/Bajel_Projects_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","dematremat@in.mpms.mufg.com","General Contact Email","Accessibility & Nodal Officer","dematremat@in.mpms.mufg.com"
"285","Unassigned","Bal Pharma Limited","https://balpharma.com","Yes","Yes","Yes","22","22","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bal_Pharma_Limited/screenshots/Bal_Pharma_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@balpharma.com","General Contact Email","Accessibility & Nodal Officer","info@balpharma.com"
"286","Unassigned","Balaji Amines Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Balaji_Amines_Limited/screenshots/Balaji_Amines_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
