[2026-08-06T19:36:05.244Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [https://20microns.com] | SELECTED: "https://20microns.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:39:52.707Z] COMPANY: "Ather Energy Limited" | QUERIES: ["Ather Energy Limited" official website] | CANDIDATES: [https://atherenergy.com] | SELECTED: "https://atherenergy.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:39:53.423Z] COMPANY: "Allcargo Terminals Limited" | QUERIES: ["Allcargo Terminals Limited" official website] | CANDIDATES: [https://allcargoterminals.com] | SELECTED: "https://allcargoterminals.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:39:58.988Z] COMPANY: "ATLANTAA LIMITED" | QUERIES: ["ATLANTAA LIMITED" official website] | CANDIDATES: [https://atlanta-airport.com] | SELECTED: "https://atlanta-airport.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:42:20.873Z] COMPANY: "Atlanta Electricals Limited" | QUERIES: ["Atlanta Electricals Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:42:26.667Z] COMPANY: "Atlas Cycles (Haryana) Limited" | QUERIES: ["Atlas Cycles (Haryana) Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:42:33.674Z] COMPANY: "Atul Limited" | QUERIES: ["Atul Limited" official website] | CANDIDATES: [https://atulsongaday.me] | SELECTED: "https://atulsongaday.me" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:42:41.525Z] COMPANY: "Atul Auto Limited" | QUERIES: ["Atul Auto Limited" official website] | CANDIDATES: [https://atulauto.co.in] | SELECTED: "https://atulauto.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:42:59.166Z] COMPANY: "AU Small Finance Bank Limited" | QUERIES: ["AU Small Finance Bank Limited" official website] | CANDIDATES: [https://aubank.in] | SELECTED: "https://aubank.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:43:00.111Z] COMPANY: "Aurionpro Solutions Limited" | QUERIES: ["Aurionpro Solutions Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:43:06.563Z] COMPANY: "Aurobindo Pharma Limited" | QUERIES: ["Aurobindo Pharma Limited" official website] | CANDIDATES: [https://aurobindo.com] | SELECTED: "https://aurobindo.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:43:17.183Z] COMPANY: "Aurum PropTech Limited" | QUERIES: ["Aurum PropTech Limited" official website] | CANDIDATES: [https://aurumproptech.in] | SELECTED: "https://aurumproptech.in" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:43:25.850Z] COMPANY: "AURUS GEM CORPORATION LIMITED" | QUERIES: ["AURUS GEM CORPORATION LIMITED" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:43:33.256Z] COMPANY: "Ausom Enterprise Limited" | QUERIES: ["Ausom Enterprise Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:43:38.185Z] COMPANY: "Automotive Axles Limited" | QUERIES: ["Automotive Axles Limited" official website] | CANDIDATES: [https://autoaxle.com] | SELECTED: "https://autoaxle.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:43:50.727Z] COMPANY: "Autoline Industries Limited" | QUERIES: ["Autoline Industries Limited" official website] | CANDIDATES: [https://autolineind.com] | SELECTED: "https://autolineind.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:44:03.823Z] COMPANY: "Avadh Sugar & Energy Limited" | QUERIES: ["Avadh Sugar & Energy Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:44:09.881Z] COMPANY: "Avalon Technologies Limited" | QUERIES: ["Avalon Technologies Limited" official website] | CANDIDATES: [https://avalontec.com] | SELECTED: "https://avalontec.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:44:26.129Z] COMPANY: "Avantel Limited" | QUERIES: ["Avantel Limited" official website] | CANDIDATES: [https://avantel.co] | SELECTED: "https://avantel.co" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:44:31.528Z] COMPANY: "Avanti Feeds Limited" | QUERIES: ["Avanti Feeds Limited" official website] | CANDIDATES: [https://avantifeeds.com] | SELECTED: "https://avantifeeds.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:44:35.897Z] COMPANY: "AVG Logistics Limited" | QUERIES: ["AVG Logistics Limited" official website] | CANDIDATES: [https://avglogistics.com] | SELECTED: "https://avglogistics.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:44:37.627Z] COMPANY: "Aditya Vision Limited" | QUERIES: ["Aditya Vision Limited" official website] | CANDIDATES: [https://adityavision.com] | SELECTED: "https://adityavision.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:44:52.974Z] COMPANY: "Avonmore Capital & Management Services Limited" | QUERIES: ["Avonmore Capital & Management Services Limited" official website] | CANDIDATES: [https://avonmorecapital.in] | SELECTED: "https://avonmorecapital.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:45:02.217Z] COMPANY: "AVRO INDIA LIMITED" | QUERIES: ["AVRO INDIA LIMITED" official website] | CANDIDATES: [https://avrotros.nl] | SELECTED: "https://avrotros.nl" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:45:21.351Z] COMPANY: "AVT Natural Products Limited" | QUERIES: ["AVT Natural Products Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:45:29.424Z] COMPANY: "Awfis Space Solutions Limited" | QUERIES: ["Awfis Space Solutions Limited" official website] | CANDIDATES: [https://awfis.co] | SELECTED: "https://awfis.co" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:45:29.732Z] COMPANY: "Antony Waste Handling Cell Limited" | QUERIES: ["Antony Waste Handling Cell Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:45:34.428Z] COMPANY: "AWL Agri Business Limited" | QUERIES: ["AWL Agri Business Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:45:39.072Z] COMPANY: "Axis Bank Limited" | QUERIES: ["Axis Bank Limited" official website] | CANDIDATES: [https://axisbank.com] | SELECTED: "https://axisbank.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:45:52.901Z] COMPANY: "AXISCADES Technologies Limited" | QUERIES: ["AXISCADES Technologies Limited" official website] | CANDIDATES: [https://axiscades.com] | SELECTED: "https://axiscades.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:46:04.739Z] COMPANY: "Axita Cotton Limited" | QUERIES: ["Axita Cotton Limited" official website] | CANDIDATES: [https://axitacotton.com] | SELECTED: "https://axitacotton.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:48:24.770Z] COMPANY: "Aye Finance Limited" | QUERIES: ["Aye Finance Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:48:29.838Z] COMPANY: "AYM Syntex Limited" | QUERIES: ["AYM Syntex Limited" official website] | CANDIDATES: [https://aymsyntex.com] | SELECTED: "https://aymsyntex.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:50:50.368Z] COMPANY: "Azad Engineering Limited" | QUERIES: ["Azad Engineering Limited" official website] | CANDIDATES: [https://azad.in] | SELECTED: "https://azad.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:04.052Z] COMPANY: "Bafna Pharmaceuticals Limited" | QUERIES: ["Bafna Pharmaceuticals Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:10.349Z] COMPANY: "B.A.G Films and Media Limited" | QUERIES: ["B.A.G Films and Media Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:15.728Z] COMPANY: "Baid Finserv Limited" | QUERIES: ["Baid Finserv Limited" official website] | CANDIDATES: [https://baidfinserv.com] | SELECTED: "https://baidfinserv.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:20.496Z] COMPANY: "Bajaj Auto Limited" | QUERIES: ["Bajaj Auto Limited" official website] | CANDIDATES: [https://bajajauto.com] | SELECTED: "https://bajajauto.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:21.909Z] COMPANY: "Bajaj Consumer Care Limited" | QUERIES: ["Bajaj Consumer Care Limited" official website] | CANDIDATES: [https://bajajconsumercare.com] | SELECTED: "https://bajajconsumercare.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:23.217Z] COMPANY: "Bajaj Electricals Limited" | QUERIES: ["Bajaj Electricals Limited" official website] | CANDIDATES: [https://bajajelectricals.com] | SELECTED: "https://bajajelectricals.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:35.739Z] COMPANY: "Bajaj Finserv Limited" | QUERIES: ["Bajaj Finserv Limited" official website] | CANDIDATES: [https://bajajfinserv.in] | SELECTED: "https://bajajfinserv.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:35.883Z] COMPANY: "Bajaj Healthcare Limited" | QUERIES: ["Bajaj Healthcare Limited" official website] | CANDIDATES: [https://bajajhealth.com] | SELECTED: "https://bajajhealth.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:51:54.785Z] COMPANY: "Bajaj Housing Finance Limited" | QUERIES: ["Bajaj Housing Finance Limited" official website] | CANDIDATES: [https://bajajhousingfinance.in] | SELECTED: "https://bajajhousingfinance.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:52:05.456Z] COMPANY: "Bajaj Hindusthan Sugar Limited" | QUERIES: ["Bajaj Hindusthan Sugar Limited" official website] | CANDIDATES: [https://bajajhindusthan.com] | SELECTED: "https://bajajhindusthan.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:52:15.118Z] COMPANY: "Bajaj Holdings & Investment Limited" | QUERIES: ["Bajaj Holdings & Investment Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:52:19.502Z] COMPANY: "Indef Manufacturing Limited" | QUERIES: ["Indef Manufacturing Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:52:24.778Z] COMPANY: "Bajaj Steel Industries Limited" | QUERIES: ["Bajaj Steel Industries Limited" official website] | CANDIDATES: [https://bajajngp.com] | SELECTED: "https://bajajngp.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:54:44.503Z] COMPANY: "Bajel Projects Limited" | QUERIES: ["Bajel Projects Limited" official website] | CANDIDATES: [https://bajelprojects.com] | SELECTED: "https://bajelprojects.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:54:55.751Z] COMPANY: "Bajaj Finance Limited" | QUERIES: ["Bajaj Finance Limited" official website] | CANDIDATES: [https://bajajhousingfinance.in] | SELECTED: "https://bajajhousingfinance.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:55:07.766Z] COMPANY: "Shree Tirupati Balajee Agro Trading Company Limited" | QUERIES: ["Shree Tirupati Balajee Agro Trading Company Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:55:14.130Z] COMPANY: "Balaji Telefilms Limited" | QUERIES: ["Balaji Telefilms Limited" official website] | CANDIDATES: [https://balajitelefilms.com] | SELECTED: "https://balajitelefilms.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:55:33.878Z] COMPANY: "Balaji Amines Limited" | QUERIES: ["Balaji Amines Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:55:39.753Z] COMPANY: "BALAXI PHARMACEUTICALS LIMITED" | QUERIES: ["BALAXI PHARMACEUTICALS LIMITED" official website] | CANDIDATES: [https://balaxipharma.in] | SELECTED: "https://balaxipharma.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:55:42.455Z] COMPANY: "Balkrishna Paper Mills Limited" | QUERIES: ["Balkrishna Paper Mills Limited" official website] | CANDIDATES: [https://bpml.in] | SELECTED: "https://bpml.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:55:54.582Z] COMPANY: "Balkrishna Industries Limited" | QUERIES: ["Balkrishna Industries Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:56:02.823Z] COMPANY: "Balmer Lawrie & Company Limited" | QUERIES: ["Balmer Lawrie & Company Limited" official website] | CANDIDATES: [https://balmerlawrie.com] | SELECTED: "https://balmerlawrie.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:56:05.207Z] COMPANY: "Bal Pharma Limited" | QUERIES: ["Bal Pharma Limited" official website] | CANDIDATES: [https://balpharma.com] | SELECTED: "https://balpharma.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:56:18.942Z] COMPANY: "Balrampur Chini Mills Limited" | QUERIES: ["Balrampur Chini Mills Limited" official website] | CANDIDATES: [https://chini.com] | SELECTED: "https://chini.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:58:37.047Z] COMPANY: "Balu Forge Industries Limited" | QUERIES: ["Balu Forge Industries Limited" official website] | CANDIDATES: [https://baluindustries.com] | SELECTED: "https://baluindustries.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:58:37.889Z] COMPANY: "Banaras Beads Limited" | QUERIES: ["Banaras Beads Limited" official website] | CANDIDATES: [https://banarasbead.com] | SELECTED: "https://banarasbead.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:58:52.936Z] COMPANY: "Bannari Amman Sugars Limited" | QUERIES: ["Bannari Amman Sugars Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:58:59.977Z] COMPANY: "Banco Products (I) Limited" | QUERIES: ["Banco Products (I) Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:59:07.603Z] COMPANY: "Bandhan Bank Limited" | QUERIES: ["Bandhan Bank Limited" official website] | CANDIDATES: [https://bandhanbank.com] | SELECTED: "https://bandhanbank.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:59:09.144Z] COMPANY: "Bang Overseas Limited" | QUERIES: ["Bang Overseas Limited" official website] | CANDIDATES: [https://banggroup.com] | SELECTED: "https://banggroup.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:59:12.430Z] COMPANY: "Banka BioLoo Limited" | QUERIES: ["Banka BioLoo Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:59:17.303Z] COMPANY: "Bank of Baroda" | QUERIES: ["Bank of Baroda" official website] | CANDIDATES: [https://bankofbaroda.in] | SELECTED: "https://bankofbaroda.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:59:38.438Z] COMPANY: "Bank of India" | QUERIES: ["Bank of India" official website] | CANDIDATES: [https://bankofindia.co.in] | SELECTED: "https://bankofindia.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:59:38.612Z] COMPANY: "Bansal Wire Industries Limited" | QUERIES: ["Bansal Wire Industries Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T20:59:43.287Z] COMPANY: "Banswara Syntex Limited" | QUERIES: ["Banswara Syntex Limited" official website] | CANDIDATES: [https://banswarasyntex.com] | SELECTED: "https://banswarasyntex.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:00:10.064Z] COMPANY: "BASF India Limited" | QUERIES: ["BASF India Limited" official website] | CANDIDATES: [https://basf.com] | SELECTED: "https://basf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:00:22.604Z] COMPANY: "Bannari Amman Spinning Mills Limited" | QUERIES: ["Bannari Amman Spinning Mills Limited" official website] | CANDIDATES: [https://bannarimills.com] | SELECTED: "https://bannarimills.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:00:23.922Z] COMPANY: "Bata India Limited" | QUERIES: ["Bata India Limited" official website] | CANDIDATES: [https://batalp.com] | SELECTED: "https://batalp.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:00:28.042Z] COMPANY: "Batliboi Limited" | QUERIES: ["Batliboi Limited" official website] | CANDIDATES: [https://batliboi.com] | SELECTED: "https://batliboi.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:00:42.880Z] COMPANY: "Bayer Cropscience Limited" | QUERIES: ["Bayer Cropscience Limited" official website] | CANDIDATES: [https://bayer.rs] | SELECTED: "https://bayer.rs" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:00:55.296Z] COMPANY: "Bharat Bijlee Limited" | QUERIES: ["Bharat Bijlee Limited" official website] | CANDIDATES: [https://bharatbijlee.com] | SELECTED: "https://bharatbijlee.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:01:04.598Z] COMPANY: "Black Box Limited" | QUERIES: ["Black Box Limited" official website] | CANDIDATES: [https://blackboxstocks.com] | SELECTED: "https://blackboxstocks.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:01:21.554Z] COMPANY: "The Bombay Burmah Trading Corporation Limited" | QUERIES: ["The Bombay Burmah Trading Corporation Limited" official website] | CANDIDATES: [https://bbtcl.com] | SELECTED: "https://bbtcl.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:01:33.011Z] COMPANY: "B&B Triplewall Containers Limited" | QUERIES: ["B&B Triplewall Containers Limited" official website] | CANDIDATES: [https://booking.com] | SELECTED: "https://booking.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:01:47.227Z] COMPANY: "Brightcom Group Limited" | QUERIES: ["Brightcom Group Limited" official website] | CANDIDATES: [https://brightcomgroup.com] | SELECTED: "https://brightcomgroup.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:02:00.044Z] COMPANY: "Bcl Industries Limited" | QUERIES: ["Bcl Industries Limited" official website] | CANDIDATES: [https://bcl.ind.in] | SELECTED: "https://bcl.ind.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:02:02.263Z] COMPANY: "Brand Concepts Limited" | QUERIES: ["Brand Concepts Limited" official website] | CANDIDATES: [https://brandconcept.cz] | SELECTED: "https://brandconcept.cz" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:02:14.903Z] COMPANY: "BCPL Railway Infrastructure Limited" | QUERIES: ["BCPL Railway Infrastructure Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:02:22.177Z] COMPANY: "Bharat Dynamics Limited" | QUERIES: ["Bharat Dynamics Limited" official website] | CANDIDATES: [https://bdl-india.com] | SELECTED: "https://bdl-india.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:02:23.893Z] COMPANY: "Beardsell Limited" | QUERIES: ["Beardsell Limited" official website] | CANDIDATES: [https://beardsell.co.in] | SELECTED: "https://beardsell.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:02:35.384Z] COMPANY: "Mrs. Bectors Food Specialities Limited" | QUERIES: ["Mrs. Bectors Food Specialities Limited" official website] | CANDIDATES: [https://bectorfoods.com] | SELECTED: "https://bectorfoods.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:02:50.058Z] COMPANY: "Bedmutha Industries Limited" | QUERIES: ["Bedmutha Industries Limited" official website] | CANDIDATES: [https://bedmutha.com] | SELECTED: "https://bedmutha.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:05:11.889Z] COMPANY: "Beekay Steel Industries Limited" | QUERIES: ["Beekay Steel Industries Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:05:17.506Z] COMPANY: "Bharat Electronics Limited" | QUERIES: ["Bharat Electronics Limited" official website] | CANDIDATES: [https://beil.co.in] | SELECTED: "https://beil.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:05:18.063Z] COMPANY: "Bella Casa Fashion & Retail Limited" | QUERIES: ["Bella Casa Fashion & Retail Limited" official website] | CANDIDATES: [https://bellacasaretail.com] | SELECTED: "https://bellacasaretail.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:05:54.060Z] COMPANY: "Belrise Industries Limited" | QUERIES: ["Belrise Industries Limited" official website] | CANDIDATES: [https://belriseindustries.com] | SELECTED: "https://belriseindustries.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:05:54.802Z] COMPANY: "BEML Limited" | QUERIES: ["BEML Limited" official website] | CANDIDATES: [https://bemlindia.in] | SELECTED: "https://bemlindia.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:06:18.834Z] COMPANY: "Bengal & Assam Company Limited" | QUERIES: ["Bengal & Assam Company Limited" official website] | CANDIDATES: [https://bengals.com] | SELECTED: "https://bengals.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:06:33.316Z] COMPANY: "Bhansali Engineering Polymers Limited" | QUERIES: ["Bhansali Engineering Polymers Limited" official website] | CANDIDATES: [https://bhansaliabs.com] | SELECTED: "https://bhansaliabs.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:06:48.368Z] COMPANY: "Berger Paints (I) Limited" | QUERIES: ["Berger Paints (I) Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:06:53.766Z] COMPANY: "Best Agrolife Limited" | QUERIES: ["Best Agrolife Limited" official website] | CANDIDATES: [https://bestagrolife.com] | SELECTED: "https://bestagrolife.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:06:54.999Z] COMPANY: "Beta Drugs Limited" | QUERIES: ["Beta Drugs Limited" official website] | CANDIDATES: [https://betadrugslimited.com] | SELECTED: "https://betadrugslimited.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:06:56.449Z] COMPANY: "BF Investment Limited" | QUERIES: ["BF Investment Limited" official website] | CANDIDATES: [https://bfigroup.org] | SELECTED: "https://bfigroup.org" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:07:08.988Z] COMPANY: "BF Utilities Limited" | QUERIES: ["BF Utilities Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:07:14.352Z] COMPANY: "BGR Energy Systems Limited" | QUERIES: ["BGR Energy Systems Limited" official website] | CANDIDATES: [https://bgrcorp.com] | SELECTED: "https://bgrcorp.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
