Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"84","Unassigned","JSW Steel Limited","https://www.jswsteel.in","readymade-fallback","HIGH","NO","N/A","info@jswsteel.in","[General Contact Email (Guessed Pattern)] info@jswsteel.in; [Investor Grievance Email (Guessed Pattern)] contact@jswsteel.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 10. Lighthouse A11y: 60/100."
"85","Unassigned","Tata Steel Limited","https://www.tatasteel.com","readymade-fallback","HIGH","NO","N/A","info@tatasteel.com","[General Contact Email (Guessed Pattern)] info@tatasteel.com; [Investor Grievance Email (Guessed Pattern)] contact@tatasteel.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"86","Unassigned","Hindalco Industries Limited","https://www.hindalco.com","readymade-fallback","HIGH","NO","N/A","hilinvestors@adityabirla.com","[Investor Grievance / Compliance Officer Email] hilinvestors@adityabirla.com; [General Contact Email] hilinvestors@adityabirla.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 67. Lighthouse A11y: 30/100."
"87","Unassigned","Vedanta Limited","https://www.vedantalimited.com","readymade-fallback","HIGH","NO","N/A","info@vedantalimited.com","[General Contact Email (Guessed Pattern)] info@vedantalimited.com; [Investor Grievance Email (Guessed Pattern)] contact@vedantalimited.com","Unverified - guessed pattern","Yes","Yes","None","No","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"88","Unassigned","Coal India Limited","https://www.coalindia.in","readymade-fallback","HIGH","NO","N/A","info@coalindia.in","[General Contact Email (Guessed Pattern)] info@coalindia.in; [Investor Grievance Email (Guessed Pattern)] contact@coalindia.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"89","Unassigned","Indian Oil Corporation Limited","https://iocl.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"90","Unassigned","Bharat Petroleum Corporation Limited","https://www.bharatpetroleum.in","readymade-fallback","HIGH","NO","N/A","info@bharatpetroleum.in","[General Contact Email (Guessed Pattern)] info@bharatpetroleum.in; [Investor Grievance Email (Guessed Pattern)] contact@bharatpetroleum.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"91","Unassigned","Oil and Natural Gas Corporation Limited","https://ongcindia.com","readymade-fallback","HIGH","NO","N/A","info@ongcindia.com","[General Contact Email (Guessed Pattern)] info@ongcindia.com; [Investor Grievance Email (Guessed Pattern)] contact@ongcindia.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"92","Unassigned","GAIL (India) Limited","https://gailonline.com","readymade-fallback","HIGH","NO","N/A","info@gailonline.com","[General Contact Email (Guessed Pattern)] info@gailonline.com; [Investor Grievance Email (Guessed Pattern)] contact@gailonline.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 168. Lighthouse A11y: 30/100."
"93","Unassigned","DLF Limited","https://www.dlf.in","readymade-fallback","HIGH","NO","N/A","DLF_Logo@300x-8.pngDLF","[Investor Grievance / Compliance Officer Email] corporateaffairs@dlf.in; [General Contact Email] DLF_Logo@300x-8.pngDLF","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 7. Lighthouse A11y: 72/100."
"94","Unassigned","Godrej Properties Limited","https://www.godrejproperties.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"95","Unassigned","Prestige Estates Projects Limited","https://www.prestigeconstructions.com","readymade-fallback","HIGH","NO","N/A","info@prestigeconstructions.com","[General Contact Email (Guessed Pattern)] info@prestigeconstructions.com; [Investor Grievance Email (Guessed Pattern)] contact@prestigeconstructions.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"96","Unassigned","Oberoi Realty Limited","https://www.oberoirealty.com","readymade-fallback","HIGH","NO","N/A","info@oberoirealty.com","[General Contact Email (Guessed Pattern)] info@oberoirealty.com; [Investor Grievance Email (Guessed Pattern)] contact@oberoirealty.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"97","Unassigned","Indian Railway Finance Corporation Limited","https://irfc.co.in","readymade-fallback","HIGH","NO","N/A","info@irfc.co.in","[General Contact Email] info@irfc.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 33. Lighthouse A11y: 30/100."
"98","Unassigned","Rail Vikas Nigam Limited","https://rvnl.org","readymade-fallback","HIGH","NO","N/A","info@rvnl.org","[General Contact Email (Guessed Pattern)] info@rvnl.org; [Investor Grievance Email (Guessed Pattern)] contact@rvnl.org","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"99","Unassigned","Indian Railway Catering and Tourism Corporation Limited","https://www.irctc.co.in","readymade-fallback","HIGH","NO","N/A","info@irctc.co.in","[General Contact Email (Guessed Pattern)] info@irctc.co.in; [Investor Grievance Email (Guessed Pattern)] contact@irctc.co.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"100","Unassigned","InterGlobe Aviation Limited / IndiGo","https://www.goindigo.in","readymade-fallback","HIGH","NO","N/A","info@goindigo.in","[General Contact Email (Guessed Pattern)] info@goindigo.in; [Investor Grievance Email (Guessed Pattern)] contact@goindigo.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"101","Unassigned","The Indian Hotels Company Limited","https://www.ihcltata.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"102","Unassigned","Jubilant FoodWorks Limited","https://www.jubilantfoodworks.com","readymade-fallback","HIGH","NO","N/A","info@jubilantfoodworks.com","[General Contact Email (Guessed Pattern)] info@jubilantfoodworks.com; [Investor Grievance Email (Guessed Pattern)] contact@jubilantfoodworks.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"103","Unassigned","Aditya Birla Capital Limited","https://www.adityabirlacapital.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"104","Unassigned","Shriram Finance Limited","https://www.shriramfinance.in","readymade-fallback","HIGH","NO","N/A","info@shriramfinance.in","[General Contact Email (Guessed Pattern)] info@shriramfinance.in; [Investor Grievance Email (Guessed Pattern)] contact@shriramfinance.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"105","Unassigned","Muthoot Finance Limited","https://www.muthootfinance.com","readymade-fallback","HIGH","NO","N/A","info@muthootfinance.com","[General Contact Email (Guessed Pattern)] info@muthootfinance.com; [Investor Grievance Email (Guessed Pattern)] contact@muthootfinance.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"106","Unassigned","Piramal Finance Limited","https://www.piramalfinance.com","readymade-fallback","HIGH","NO","N/A","investors@piramal.com","[Investor Grievance / Compliance Officer Email] investors@piramal.com; [General Contact Email] investors@piramal.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"107","Unassigned","Yes Bank Limited","https://www.yesbank.in","readymade-fallback","HIGH","NO","N/A","info@yesbank.in","[General Contact Email (Guessed Pattern)] info@yesbank.in; [Investor Grievance Email (Guessed Pattern)] contact@yesbank.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"108","Unassigned","RBL Bank Limited","https://www.rblbank.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"109","Unassigned","AU Small Finance Bank Limited","https://www.aubank.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
