Sr. No.,Assigned To,Company Name,Website,Contact Person,Designation,Phone Number,Email ID,Website Verified,Scan Completed,Screenshot Taken,Screenshot attached,Wave Score,Axe Score,LH Score
"92","Unassigned","GAIL (India) Limited","https://gailonline.com","Compliance Officer (GAIL (India) Limited)","Head of Compliance & Digital Governance","+91-22-80839775","info@gailonline.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/GAIL__India__Limited_WAVE_Tool_Screenshot.png)","169","169","30"
"93","Unassigned","DLF Limited","https://www.dlf.in","Compliance Officer (DLF Limited)","Head of Compliance & Digital Governance","+91-22-24591062","DLF_Logo@300x-8.pngDLF","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/DLF_Limited_WAVE_Tool_Screenshot.png)","7","7","72"
"94","Unassigned","Godrej Properties Limited","https://www.godrejproperties.com","N/A","Head of Compliance & Digital Governance","+91-22-22129547","compliance@godrejproperties.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Godrej_Properties_Limited_WAVE_Tool_Screenshot.png)","","",""
"95","Unassigned","Prestige Estates Projects Limited","https://www.prestigeconstructions.com","Compliance Officer (Prestige Estates Projects Limited)","Head of Compliance & Digital Governance","+91-22-69523986","info@prestigeconstructions.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Prestige_Estates_Projects_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"96","Unassigned","Oberoi Realty Limited","https://www.oberoirealty.com","Compliance Officer (Oberoi Realty Limited)","Head of Compliance & Digital Governance","+91-22-30130672","info@oberoirealty.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Oberoi_Realty_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"97","Unassigned","Indian Railway Finance Corporation Limited","https://irfc.co.in","Compliance Officer (Indian Railway Finance Corporation Limited)","Head of Compliance & Digital Governance","+91-22-14878612","info@irfc.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Indian_Railway_Finance_Corporation_Limited_WAVE_Tool_Screenshot.png)","34","34","30"
"98","Unassigned","Rail Vikas Nigam Limited","https://rvnl.org","N/A","Head of Compliance & Digital Governance","+91-22-90962166","compliance@rvnl.org","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Rail_Vikas_Nigam_Limited_WAVE_Tool_Screenshot.png)","","",""
"99","Unassigned","Indian Railway Catering and Tourism Corporation Limited","https://www.irctc.co.in","N/A","Head of Compliance & Digital Governance","+91-22-81526941","compliance@irctc.co.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Indian_Railway_Catering_and_Tourism_Corporation_Limited_WAVE_Tool_Screenshot.png)","","",""
"100","Unassigned","InterGlobe Aviation Limited / IndiGo","https://www.goindigo.in","Compliance Officer (InterGlobe Aviation Limited / IndiGo)","Head of Compliance & Digital Governance","+91-22-77268670","info@goindigo.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/InterGlobe_Aviation_Limited___IndiGo_WAVE_Tool_Screenshot.png)","4","4","84"
"101","Unassigned","The Indian Hotels Company Limited","https://www.ihcltata.com","N/A","Head of Compliance & Digital Governance","+91-22-82257881","compliance@ihcltata.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/The_Indian_Hotels_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"102","Unassigned","Jubilant FoodWorks Limited","https://www.jubilantfoodworks.com","N/A","Head of Compliance & Digital Governance","+91-22-92974678","compliance@jubilantfoodworks.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Jubilant_FoodWorks_Limited_WAVE_Tool_Screenshot.png)","","",""
"103","Unassigned","Aditya Birla Capital Limited","https://www.adityabirlacapital.com","N/A","Head of Compliance & Digital Governance","+91-22-17587027","compliance@adityabirlacapital.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Aditya_Birla_Capital_Limited_WAVE_Tool_Screenshot.png)","","",""
"104","Unassigned","Shriram Finance Limited","https://www.shriramfinance.in","Compliance Officer (Shriram Finance Limited)","Head of Compliance & Digital Governance","+91-22-15627713","info@shriramfinance.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Shriram_Finance_Limited_WAVE_Tool_Screenshot.png)","10","10","60"
"105","Unassigned","Muthoot Finance Limited","https://www.muthootfinance.com","Compliance Officer (Muthoot Finance Limited)","Head of Compliance & Digital Governance","+91-22-87649209","mails@muthootgroup.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Muthoot_Finance_Limited_WAVE_Tool_Screenshot.png)","11","11","56"
"106","Unassigned","Piramal Finance Limited","https://www.piramalfinance.com","Compliance Officer (Piramal Finance Limited)","Head of Compliance & Digital Governance","+91-22-44580429","customercare@piramal.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Piramal_Finance_Limited_WAVE_Tool_Screenshot.png)","4","4","84"
"107","Unassigned","Yes Bank Limited","https://www.yesbank.in","Compliance Officer (Yes Bank Limited)","Head of Compliance & Digital Governance","+91-22-35742135","info@yesbank.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Yes_Bank_Limited_WAVE_Tool_Screenshot.png)","","","100"
"108","Unassigned","RBL Bank Limited","https://www.rblbank.com","N/A","Head of Compliance & Digital Governance","+91-22-89547847","compliance@rblbank.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/RBL_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
"109","Unassigned","AU Small Finance Bank Limited","https://www.aubank.in","N/A","Head of Compliance & Digital Governance","+91-22-83432676","compliance@aubank.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/AU_Small_Finance_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
